node_id:ID,lat:float,lon:float,tipo:string,:LABEL
247486200,-32.8845398,-68.8724637,Interseccion,Point
247486278,-32.8852493,-68.8379928,Interseccion,Point
247486282,-32.8694864,-68.8338449,Interseccion,Point
247486283,-32.8646927,-68.8325045,Interseccion,Point
286025589,-32.8776657,-68.8413666,Interseccion,Point
286045064,-32.8863465,-68.8382789,Interseccion,Point
286045221,-32.8906628,-68.8393838,Interseccion,Point
286045339,-32.8799417,-68.8379751,Interseccion,Point
286045369,-32.8820284,-68.839839,Interseccion,Point
286045370,-32.8963761,-68.8435306,Interseccion,Point
286045446,-32.8853921,-68.8434324,Interseccion,Point
286054350,-32.8961196,-68.8488968,Interseccion,Point
286054443,-32.8963237,-68.8448692,Interseccion,Point
286068442,-32.8775583,-68.842631,Interseccion,Point
286068443,-32.8962317,-68.8469377,Interseccion,Point
286994609,-32.8960769,-68.8347782,Interseccion,Point
286994626,-32.8999086,-68.8191334,Interseccion,Point
286994786,-32.8997474,-68.8193934,Interseccion,Point
287040660,-32.8856463,-68.8420703,Interseccion,Point
287040669,-32.8858645,-68.8408308,Interseccion,Point
287040677,-32.8860991,-68.8395705,Interseccion,Point
287040684,-32.8869723,-68.8411263,Interseccion,Point
287040690,-32.8867408,-68.8423658,Interseccion,Point
287040698,-32.8875623,-68.8440108,Interseccion,Point
287040708,-32.8878174,-68.8426548,Interseccion,Point
287040724,-32.8885194,-68.8388226,Interseccion,Point
287040734,-32.8873326,-68.8452325,Interseccion,Point
287040821,-32.8891023,-68.8416695,Interseccion,Point
287042850,-32.8917975,-68.8396761,Interseccion,Point
287042851,-32.8915515,-68.8410078,Interseccion,Point
287042852,-32.8913078,-68.8422354,Interseccion,Point
287042857,-32.8908203,-68.8448619,Interseccion,Point
287042858,-32.8905848,-68.8460868,Interseccion,Point
287042859,-32.8903395,-68.847348,Interseccion,Point
287042860,-32.8901115,-68.848613,Interseccion,Point
287042870,-32.8864844,-68.8437319,Interseccion,Point
287044657,-32.8851624,-68.8446503,Interseccion,Point
287044661,-32.8849305,-68.8459134,Interseccion,Point
287044665,-32.8846921,-68.8471884,Interseccion,Point
287044669,-32.8909942,-68.8620862,Interseccion,Point
287048117,-32.8927946,-68.839933,Interseccion,Point
287048125,-32.8913938,-68.8476395,Interseccion,Point
287048129,-32.8916318,-68.846364,Interseccion,Point
287048132,-32.891859,-68.845144,Interseccion,Point
287055420,-32.89387,-68.8402166,Interseccion,Point
287055424,-32.8926876,-68.8466429,Interseccion,Point
287055428,-32.8931605,-68.8440551,Interseccion,Point
287055431,-32.8933897,-68.8427929,Interseccion,Point
287055435,-32.8960567,-68.8501391,Interseccion,Point
287055445,-32.8922082,-68.8491627,Interseccion,Point
287055449,-32.8935692,-68.8481998,Interseccion,Point
287055452,-32.8938048,-68.8469475,Interseccion,Point
287055453,-32.8940358,-68.8457197,Interseccion,Point
287055456,-32.896419,-68.8422789,Interseccion,Point
287055464,-32.8947668,-68.8418341,Interseccion,Point
287055465,-32.8945348,-68.8430675,Interseccion,Point
287057996,-32.8841301,-68.8376996,Interseccion,Point
287058001,-32.8824957,-68.8466546,Interseccion,Point
287058011,-32.882979,-68.8440829,Interseccion,Point
287058015,-32.883213,-68.8427889,Interseccion,Point
287058020,-32.8836666,-68.8402735,Interseccion,Point
287058030,-32.8834443,-68.8415041,Interseccion,Point
287058036,-32.8835842,-68.8469229,Interseccion,Point
287058041,-32.8838329,-68.8456279,Interseccion,Point
287058046,-32.8840634,-68.8443586,Interseccion,Point
287058051,-32.8842801,-68.8431412,Interseccion,Point
287058057,-32.8845332,-68.8417769,Interseccion,Point
287058063,-32.8847683,-68.8405495,Interseccion,Point
287060771,-32.8690536,-68.8545746,Interseccion,Point
287060772,-32.8714238,-68.8549874,Interseccion,Point
287060773,-32.8729293,-68.8553207,Interseccion,Point
287060775,-32.8750212,-68.8558785,Interseccion,Point
287060778,-32.8771205,-68.8564354,Interseccion,Point
287060781,-32.882564,-68.8585891,Interseccion,Point
287060783,-32.8848046,-68.8588376,Interseccion,Point
287060785,-32.890434,-68.8589678,Interseccion,Point
287060788,-32.8881864,-68.8589933,Interseccion,Point
287060791,-32.8870147,-68.8590124,Interseccion,Point
287060795,-32.8859096,-68.8589111,Interseccion,Point
287060813,-32.8837141,-68.8561114,Interseccion,Point
304371007,-32.8940315,-68.8286667,Interseccion,Point
317832040,-32.8998038,-68.83527,Interseccion,Point
340246165,-32.8701907,-68.8148712,Interseccion,Point
437557674,-32.9102432,-68.8445234,Interseccion,Point
437557676,-32.9099946,-68.8457715,Interseccion,Point
437557677,-32.9097666,-68.8471266,Interseccion,Point
437557681,-32.9034697,-68.8479894,Interseccion,Point
437558117,-32.8909188,-68.850161,Interseccion,Point
437558119,-32.8898687,-68.8499017,Interseccion,Point
437558120,-32.8887531,-68.849605,Interseccion,Point
437558121,-32.8876684,-68.8493273,Interseccion,Point
437558123,-32.8866058,-68.8490551,Interseccion,Point
437558124,-32.8855481,-68.8487733,Interseccion,Point
437558126,-32.8844507,-68.8484759,Interseccion,Point
437558469,-32.8839005,-68.8515902,Interseccion,Point
437558471,-32.8827692,-68.8515275,Interseccion,Point
437558472,-32.880339,-68.8510503,Interseccion,Point
437558474,-32.8783162,-68.850158,Interseccion,Point
437558475,-32.8790973,-68.845715,Interseccion,Point
437560037,-32.8808153,-68.8408078,Interseccion,Point
437560039,-32.8809494,-68.8395663,Interseccion,Point
437560041,-32.8812125,-68.8369342,Interseccion,Point
437560043,-32.8798624,-68.8392841,Interseccion,Point
437560045,-32.8784362,-68.8389095,Interseccion,Point
437560047,-32.878514,-68.8375856,Interseccion,Point
437560049,-32.8800315,-68.8366259,Interseccion,Point
437560050,-32.8797848,-68.8405329,Interseccion,Point
437560051,-32.879632,-68.8418406,Interseccion,Point
437560054,-32.8792771,-68.8444549,Interseccion,Point
437560061,-32.8773818,-68.8439303,Interseccion,Point
437560063,-32.8769277,-68.845111,Interseccion,Point
437560064,-32.8783055,-68.8441764,Interseccion,Point
437560068,-32.8786282,-68.8362584,Interseccion,Point
437560072,-32.8790645,-68.8294945,Interseccion,Point
437560073,-32.8792419,-68.8267736,Interseccion,Point
437560074,-32.8797263,-68.836546,Interseccion,Point
437560081,-32.8804014,-68.8270766,Interseccion,Point
437560082,-32.880959,-68.8368689,Interseccion,Point
437560087,-32.8814489,-68.8296166,Interseccion,Point
437561644,-32.8851496,-68.8280157,Interseccion,Point
437561645,-32.8803757,-68.827502,Interseccion,Point
437561646,-32.8851317,-68.8285272,Interseccion,Point
437561648,-32.8913988,-68.8305941,Interseccion,Point
437561738,-32.8888989,-68.8294719,Interseccion,Point
437561739,-32.8914332,-68.8301688,Interseccion,Point
437562111,-32.8912456,-68.8328554,Interseccion,Point
437562112,-32.8909518,-68.837101,Interseccion,Point
437562113,-32.8908464,-68.8382942,Interseccion,Point
437562115,-32.889731,-68.8370369,Interseccion,Point
437562116,-32.8920638,-68.8382063,Interseccion,Point
437562121,-32.8938408,-68.8316898,Interseccion,Point
445782810,-32.8762074,-68.82642,Interseccion,Point
458896739,-32.872377,-68.8175627,Interseccion,Point
458896744,-32.8888767,-68.8299458,Interseccion,Point
458912843,-32.8972034,-68.8229522,Interseccion,Point
458914804,-32.8971347,-68.8246072,Interseccion,Point
458914808,-32.8964118,-68.8327099,Interseccion,Point
458914810,-32.8976064,-68.8191311,Interseccion,Point
480124223,-32.8801748,-68.8460456,Interseccion,Point
480124225,-32.8816579,-68.8513409,Interseccion,Point
480124228,-32.8802435,-68.8587348,Interseccion,Point
480124230,-32.8789605,-68.85841,Interseccion,Point
480124234,-32.8792006,-68.8571267,Interseccion,Point
480124237,-32.8793303,-68.8505804,Interseccion,Point
480124239,-32.8779154,-68.8581454,Interseccion,Point
480124243,-32.8765932,-68.8592615,Interseccion,Point
480124245,-32.881144,-68.8601037,Interseccion,Point
480124249,-32.88444,-68.8607651,Interseccion,Point
480124253,-32.8738837,-68.8500959,Interseccion,Point
480124255,-32.8735947,-68.8517992,Interseccion,Point
480124259,-32.895139,-68.8574182,Interseccion,Point
480124264,-32.8917179,-68.8581672,Interseccion,Point
480124267,-32.8733033,-68.853331,Interseccion,Point
480124269,-32.8826652,-68.8296904,Interseccion,Point
480124271,-32.8822677,-68.8372117,Interseccion,Point
480124273,-32.8812805,-68.8463335,Interseccion,Point
480124274,-32.8738803,-68.8334887,Interseccion,Point
480124277,-32.8876041,-68.834222,Interseccion,Point
480124279,-32.8876645,-68.8326976,Interseccion,Point
480124283,-32.8739796,-68.8321118,Interseccion,Point
480124286,-32.8740857,-68.8306393,Interseccion,Point
